"","baker_first_name","baker_last_name","baker_age","baker_occupation","baker_hometown","series","episode","technical","signature_bake","show_stopper","result"
"1","Annetha","Mills",30,"Midwife","Essex",1,1,"2","Light Jamaican Black Cakewith Strawberries and Cream","Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream","IN"
"2","David","Chambers",31,"Entrepreneur","Milton Keynes",1,1,"3","Chocolate Orange Cake","Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs","IN"
"3","Edd","Kimber",24,"Debt collector for Yorkshire Bank","Bradford",1,1,"1","Caramel Cinnamon and Banana Cake","N/A","IN"
"4","Jasminder","Randhawa",45,"Assistant Credit Control Manager","Birmingham",1,1,NA,"Fresh Mango and Passion Fruit Hummingbird Cake","N/A","IN"
"5","Jonathan","Shepherd",25,"Research Analyst","St Albans",1,1,"9","Carrot Cake with Lime and Cream Cheese Icing","Three Tiered White and Dark Chocolate with Almond and Cherry","IN"
"6","Louise","Brimelow",44,"Police Officer","Manchester",1,1,NA,"Carrot and Orange Cake","Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border","IN"
"7","Miranda","Browne",37,"Food buyer for Marks & Spencer","Midhurst, West Sussex",1,1,"8","Triple Layered Brownie Meringue Cake
with Raspberry Cream","Three Tiered Chocolate Fudge Cake  with Handmade Chocolate Button Decorations","IN"
"8","Ruth","Clemens",31,"Retail manager/Housewife","Poynton, Cheshire",1,1,NA,"Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd","Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles","IN"
"9","Lea","Harris",51,"Retired","Midlothian, Scotland",1,1,"10","Cranberry and Pistachio Cakewith Orange Flower Water Icing","Raspberries and Cream filled Chocolatewith Chocolate-dipped Fresh Fruit","OUT"
"10","Mark","Whithers",48,"Bus Driver","South Wales",1,1,NA,"Sticky Marmalade Tea Loaf","Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.","OUT"
"11","David","Chambers",31,"Entrepreneur","Milton Keynes",1,2,"8","Cheddar Cheese and Fresh Rosemary Biscuits","Choux Pastry Swans  Chocolate Profiteroles","IN"
"12","Edd","Kimber",24,"Debt collector for Yorkshire Bank","Bradford",1,2,"6","Oatmeal Raisin Cookie","Pink Macarons","IN"
"13","Jasminder","Randhawa",45,"Assistant Credit Control Manager","Birmingham",1,2,"2","Millionaires' Shortbread","Meringues with Chocolate and Space DustCoffee flavoured Eclairs","IN"
"14","Jonathan","Shepherd",25,"Research Analyst","St Albans",1,2,"1","Honey and Candied Ginger Cookies","Meringues with Whiskey Cream","IN"
"15","Miranda","Browne",37,"Food buyer for Marks & Spencer","Midhurst, West Sussex",1,2,"3","Fresh Vanilla Biscuits with Royal Icing","Pistachio Macarons","IN"
"16","Ruth","Clemens",31,"Retail manager/Housewife","Poynton, Cheshire",1,2,"5","Peanut Shortbread withSalted Peanut Caramel","Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs","IN"
"17","Annetha","Mills",30,"Midwife","Essex",1,2,"7","Rose Petal Shortbread","Pink Swirl Macarons / Eclairs","OUT"
"18","Louise","Brimelow",44,"Police Officer","Manchester",1,2,"4","Stained Glass Window Shortbread","Strawberry, Mint, and Cream Meringues  Chocolate Eclairs / Orange, Yellow and Pink Macarons","OUT"
"19","Lea","Harris",51,"Retired","Midlothian, Scotland",1,2,NA,NA,NA,NA
"20","Mark","Whithers",48,"Bus Driver","South Wales",1,2,NA,NA,NA,NA
"21","David","Chambers",31,"Entrepreneur","Milton Keynes",1,3,"4","Chilli Bread","Walnut and Seed Roll
Red Berry and Almond Bun","IN"
"22","Edd","Kimber",24,"Debt collector for Yorkshire Bank","Bradford",1,3,"1","Olive Bread","Tomato and Mozzarella","IN"
"23","Jasminder","Randhawa",45,"Assistant Credit Control Manager","Birmingham",1,3,"5","Focaccia","Mango and Sultana Buns
Pan au Chocolat with Mars Bars
Tutti Frutti Wheel with Jelly Tots","IN"
"24","Miranda","Browne",37,"Food buyer for Marks & Spencer","Midhurst, West Sussex",1,3,"3","Walnut and Apricot Bread","Lemon Iced Buns
Chocolate and Orange Buns","IN"
"25","Ruth","Clemens",31,"Retail manager/Housewife","Poynton, Cheshire",1,3,"2","Maple and Pecan Bread","Chocolate and Orange Panettone
Cranberry Bagels","IN"
"26","Jonathan","Shepherd",25,"Research Analyst","St Albans",1,3,"6","Anchovy, Sweet Paprika and Oregano Bread","Sticky Lemon Honey Bun
Olive and Anchovy Roll
Sundried Tomatoes and Fresh Herbs Roll
Stilton, Walnut and Apple Roll
Cinnamon and Cardamom Chelsea Bun","OUT"
"27","Annetha","Mills",30,"Midwife","Essex",1,3,NA,NA,NA,NA
"28","Lea","Harris",51,"Retired","Midlothian, Scotland",1,3,NA,NA,NA,NA
"29","Louise","Brimelow",44,"Police Officer","Manchester",1,3,NA,NA,NA,NA
"30","Mark","Whithers",48,"Bus Driver","South Wales",1,3,NA,NA,NA,NA
"31","Edd","Kimber",24,"Debt collector for Yorkshire Bank","Bradford",1,4,"3","Apple and Plum Pudding","Apple and Cinnamon Crumble, Nutella Banana Brioche Bread Pudding, Rhubarb and Strawberry Suet Layer","IN"
"32","Jasminder","Randhawa",45,"Assistant Credit Control Manager","Birmingham",1,4,"2","Sticky Toffee Pudding with Tropical Fruit & Toffee Sauce","Bread & Butter Pudding, Treacle Suet Pudding with Fresh Fruit, Apple and Pineapple Crumble","IN"
"33","Miranda","Browne",37,"Food buyer for Marks & Spencer","Midhurst, West Sussex",1,4,"1","Sticky Toffee Pudding","Queen of Puddings, Chocolate Pear Roly Poly, Strawberry and Rhubarb Crumble","IN"
"34","Ruth","Clemens",31,"Retail manager/Housewife","Poynton, Cheshire",1,4,"4","Peach and Blueberry Boy Bait","Apple & Ginger Crumble, Rhubarb Suet Crust, Cherry Queen of Puddings","IN"
"35","David","Chambers",31,"Entrepreneur","Milton Keynes",1,4,"5","Pear and Walnut Pudding","Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear","OUT"
"36","Annetha","Mills",30,"Midwife","Essex",1,4,NA,NA,NA,NA
"37","Jonathan","Shepherd",25,"Research Analyst","St Albans",1,4,NA,NA,NA,NA
"38","Lea","Harris",51,"Retired","Midlothian, Scotland",1,4,NA,NA,NA,NA
"39","Louise","Brimelow",44,"Police Officer","Manchester",1,4,NA,NA,NA,NA
"40","Mark","Whithers",48,"Bus Driver","South Wales",1,4,NA,NA,NA,NA
"41","Edd","Kimber",24,"Debt collector for Yorkshire Bank","Bradford",1,5,"2","Chicken, Ham, Leek and Tarragon Pie","Almond Sweet Pastry with Ginger and Chocolate  Raspberry Tart / Yorkshire Curd Tart  Chickpea and Salami, Red and Yellow Pepper, Asparagus Gruyere Quiche Canapés","IN"
"42","Miranda","Browne",37,"Food buyer for Marks & Spencer","Midhurst, West Sussex",1,5,"1","Summery Salmon, Cod and Prawn Fish Pie","Chocolate Pastry filled with Orange Cheesecake  Chocolate Pastry filled with Milk Chocolate Ganche  Strawberry Tart with Red Currant Glaze  Cheesy Crab, Broad Bean and Tomato, Pancetta Risotto Canapés","IN"
"43","Ruth","Clemens",31,"Retail manager/Housewife","Poynton, Cheshire",1,5,"3","Minced Beef Pie","Raspberry and Dark Chocolate Tart  Creme Patisserie and Cherry Tart  Citrus Curd Tart with Creme Brulee top  Tomato, Asparagus Twirl Canapés","IN"
"44","Jasminder","Randhawa",45,"Assistant Credit Control Manager","Birmingham",1,5,"4","Chicken and Mushroom Pie","Jaggery, Carrot, and Spiced Condensed Milk Tart  Fruit and Custard Tart  Thai Chili Red Onion, Duck in Plum Sauce, Salmon and Prawn Canapés","OUT"
"45","Annetha","Mills",30,"Midwife","Essex",1,5,NA,NA,NA,NA
"46","David","Chambers",31,"Entrepreneur","Milton Keynes",1,5,NA,NA,NA,NA
"47","Jonathan","Shepherd",25,"Research Analyst","St Albans",1,5,NA,NA,NA,NA
"48","Lea","Harris",51,"Retired","Midlothian, Scotland",1,5,NA,NA,NA,NA
"49","Louise","Brimelow",44,"Police Officer","Manchester",1,5,NA,NA,NA,NA
"50","Mark","Whithers",48,"Bus Driver","South Wales",1,5,NA,NA,NA,NA
"51","Miranda","Browne",37,"Food buyer for Marks & Spencer","Midhurst, West Sussex",1,6,NA,"Lemon Cupcake","Eliminated after signature","Runner-up"
"52","Ruth","Clemens",31,"Retail manager/Housewife","Poynton, Cheshire",1,6,NA,"Mint, Ginger and Blackberry Cake",NA,"Runner-up"
"53","Edd","Kimber",24,"Debt collector for Yorkshire Bank","Bradford",1,6,NA,"Cinnamon and Banana Cake",NA,"WINNER"
"54","Annetha","Mills",30,"Midwife","Essex",1,6,NA,NA,NA,NA
"55","David","Chambers",31,"Entrepreneur","Milton Keynes",1,6,NA,NA,NA,NA
"56","Jasminder","Randhawa",45,"Assistant Credit Control Manager","Birmingham",1,6,NA,NA,NA,NA
"57","Jonathan","Shepherd",25,"Research Analyst","St Albans",1,6,NA,NA,NA,NA
"58","Lea","Harris",51,"Retired","Midlothian, Scotland",1,6,NA,NA,NA,NA
"59","Louise","Brimelow",44,"Police Officer","Manchester",1,6,NA,NA,NA,NA
